ENSDARG00000094426	unknown
ENSDARG00000009822	unknown
ENSDARG00000091579	unknown
ENSDARG00000056729	unknown
ENSDARG00000056732	her4.1
ENSDARG00000040162	fgfbp3
ENSDARG00000056934	hepacama
ENSDARG00000053262	unknown
ENSDARG00000054560	unknown
ENSDARG00000102453	slc1a2b
ENSDARG00000032963	her12
ENSDARG00000019856	atp1a1b
ENSDARG00000054562	her15.1
ENSDARG00000060756	unknown
ENSDARG00000041799	cx43
ENSDARG00000015349	mfge8a
ENSDARG00000010791	dla
ENSDARG00000095906	unknown
ENSDARG00000053569	sox3
ENSDARG00000102340	ptn
ENSDARG00000099793	cspg5b
ENSDARG00000013730	slc4a4a
ENSDARG00000036376	unknown
ENSDARG00000101584	unknown
ENSDARG00000095715	unknown
ENSDARG00000042690	s1pr1
ENSDARG00000039647	slc6a1b
ENSDARG00000045926	crabp1a
ENSDARG00000002403	nusap1
ENSDARG00000112234	endouc
ENSDARG00000040503	sb:cb81
ENSDARG00000059826	crtac1a
ENSDARG00000037879	lfng
ENSDARG00000043446	unknown
ENSDARG00000020711	unknown
ENSDARG00000020708	mdkb
ENSDARG00000023713	aqp1a.1
ENSDARG00000036427	slc3a2a
ENSDARG00000007697	fabp7a
ENSDARG00000071626	ptgdsb.2
ENSDARG00000036036	mdka
ENSDARG00000094730	acbd7
ENSDARG00000013087	ndrg3a
ENSDARG00000101637	ccnd1
ENSDARG00000077121	cyp26b1
ENSDARG00000099776	glula
ENSDARG00000101135	si:dkey-85k7.7
ENSDARG00000027088	ptgdsb.1
ENSDARG00000041623	mt2
ENSDARG00000040764	id1
ENSDARG00000007275	si:ch211-251b21.1
ENSDARG00000028335	hmga1a
ENSDARG00000100003	glulb
ENSDARG00000029722	hmgb2a
ENSDARG00000025147	cd63
ENSDARG00000053990	hmgb2b
ENSDARG00000099572	unknown
ENSDARG00000020504	unknown
ENSDARG00000076532	si:ch211-222l21.1
ENSDARG00000020007	col1a2
ENSDARG00000035809	col1a1b
ENSDARG00000026726	anxa1a
ENSDARG00000044935	hpdb
ENSDARG00000012972	cfl1l
ENSDARG00000042725	cebpb
ENSDARG00000006427	fabp2
ENSDARG00000025254	s100a10b
ENSDARG00000058358	krt8
ENSDARG00000040534	epcam
ENSDARG00000070844	gamt
ENSDARG00000103720	unknown
ENSDARG00000013430	bhmt
ENSDARG00000012405	col1a1a
ENSDARG00000100582	unknown
ENSDARG00000016771	tfa
ENSDARG00000097008	opn1mw1
ENSDARG00000043457	gapdh
ENSDARG00000104181	tmsb1
ENSDARG00000070835	tnnc2
ENSDARG00000014196	myl1
ENSDARG00000103687	unknown
ENSDARG00000019902	rcvrn2
ENSDARG00000099420	nme2b.2
ENSDARG00000044861	opn1lw2
ENSDARG00000024433	pvalb4
ENSDARG00000098475	arr3b
ENSDARG00000039730	unknown
ENSDARG00000056744	ela2
ENSDARG00000067990	unknown
ENSDARG00000053684	aldob
ENSDARG00000029069	tnni2a.4
ENSDARG00000021339	cpa5
ENSDARG00000093844	unknown
ENSDARG00000068457	tnnt3b
ENSDARG00000007276	ela3l
ENSDARG00000090268	krtt1c19e
ENSDARG00000088091	pfn1
ENSDARG00000093303	ifitm1
ENSDARG00000068680	ctrl
ENSDARG00000035798	gngt1
ENSDARG00000040565	ckmb
ENSDARG00000060350	unknown
ENSDARG00000035327	ckma
ENSDARG00000101199	rbp4
ENSDARG00000038153	lgals2b
ENSDARG00000094041	krt17
ENSDARG00000079274	prss59.1
ENSDARG00000033683	tpma
ENSDARG00000036832	unknown
ENSDARG00000056765	ela2l
ENSDARG00000058371	krt5
ENSDARG00000036830	krt91
ENSDARG00000073742	unknown
ENSDARG00000055514	icn2
ENSDARG00000042993	prss1
ENSDARG00000017314	cela1.6
ENSDARG00000090428	ctrb1
ENSDARG00000017441	mylz3
ENSDARG00000103543	gngt2b
ENSDARG00000009978	icn
ENSDARG00000053254	mylpfa
ENSDARG00000099197	actc1b
ENSDARG00000045677	opn1sw1
ENSDARG00000002768	pvalb2
ENSDARG00000102558	pde6ha
ENSDARG00000037789	pvalb1
ENSDARG00000092947	cyt1
ENSDARG00000017624	krt4
ENSDARG00000044684	rbp4l
ENSDARG00000015866	apoa2
ENSDARG00000038439	fabp10a
ENSDARG00000101324	apoa1b
ENSDARG00000045143	hbbe2
ENSDARG00000087390	unknown
ENSDARG00000079305	hbae3
ENSDARG00000002193	rho
