ENSDARG00000053862	crygmx
ENSDARG00000053875	cryba1b
ENSDARG00000024548	cryba4
ENSDARG00000068507	crybb1
ENSDARG00000030411	crygn2
ENSDARG00000045442	cpb1
ENSDARG00000021339	cpa5
ENSDARG00000032929	cryba1l1
ENSDARG00000045835	unknown
ENSDARG00000013856	amy2a
ENSDARG00000052578	unknown
ENSDARG00000039730	unknown
ENSDARG00000103687	unknown
ENSDARG00000068680	ctrl
ENSDARG00000060350	unknown
ENSDARG00000056744	ela2
ENSDARG00000007276	ela3l
ENSDARG00000093844	unknown
ENSDARG00000056765	ela2l
ENSDARG00000079274	prss59.1
ENSDARG00000017314	cela1.6
ENSDARG00000042993	prss1
ENSDARG00000090428	ctrb1
ENSDARG00000073742	unknown
ENSDARG00000115405	unknown
ENSDARG00000045143	hbbe2
ENSDARG00000088330	unknown
ENSDARG00000113599	hbbe1.1
ENSDARG00000079305	hbae3
ENSDARG00000087390	unknown
